date,town,location,origin,species,sex,age,band,background,treat,lead1,emoq1,mass1,tarsus,wc,lead2,emoq2,mass2,genetic,cage ,water,mas3,runs_n,runs_sec,runs day,alad sample,cell,blood sample volume for oroboros,emoq3,band,leadcare3,leadcare4,chamber,Routine,leak,oxphos,ETS,FCR,OxCe,Oroboros comments,TE,TOF,ALAD,TotalMovement,Frames,CSAL,band,CSAbad,CSA,Bone_Lead,CSA_liv,LN(lead2),formula,lead2c,LN(lead1),formula1,lead1c
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91611,contamlow,trt,1.9,178,23.46,20.4,74.52,11.4,183,23.173,ok,16a,29.42,23.124,23,171,1,v,5.03,50,193,91611,12.5,4.6,a,15.93396434,2.64921864,13.2847457,58.69712272,0.271460739,0.833737632,,0.083183977,0.197730262,0.051,2084475,44998,23.75,91611,29.83393221,5.575307046,44,23.75082019,2.433613355,3.271226818,26.34363837,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91615,contamlow,ctr,1.9,176,27.06,20.56,72.73,4.4,180,30.309,ok,9a,35,28.998,25,298,1,v,8.38,50,189,91615,,,b,25.66880456,6.73295608,18.93584848,84.59970256,0.303414832,0.737698884,,0.093773184,0.243687225,0.063,1993370,44998,17.59,91615,23.61852967,,28,17.58868068,1.481604541,2.500099678,12.18370835,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91616,contamlow,trt,1.9,175,23.17,19.24,73.34,14.2,182,23.662,ok,10a,48,23.192,15,127,1,v,5.49,50,173,91616,,,b,23.785426,4.2985707,19.4868553,76.818396,0.309631901,0.81927712,"did it twice both times did not work, worked at the third time on 30/07",0.077178339,0.182524014,,1428391,44998,10.169.68573,91616,22.98727785,5.575307046,50,10169.68573,2.653241965,3.449125991,31.47287272,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91617,contamlow,trt,1.9,185,25.53,19.76,71.89,13.8,182,23.905,ok,44a,49.13,23.595,11,106,2,v,5.59,50,191,91617,27.3,9.1,b,17.8354672,4.25417176,13.58129544,68.95236792,0.258663593,0.761476853,,0.111211072,0.308996557,0.078,2875887,44998,19.01,91617,,10.45812493,244,19.00825215,2.624668592,3.42598156,30.75281576,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91624,contamlow,ctr,1.9,169,24.93,20.91,71.97,1.9,163,26.668,ok,13a,35,25.322,28,225,1,v,5.71,50,165,91624,,,b,23.27544,4.6493984,18.6260416,81.6257108,0.28514839,0.800244447,,0.086197232,0.288587221,,554879,44998,,91624,27.69738759,5.8177117,17,,0.641853886,1.819901648,6.171251464,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91625,contamlow,ctr,1.9,194,23.38,19.6,72.08,1.9,190,23.281,ok,43a,35,23.026,5,61,2,v,5.29,50,198,91625,1.9,,b,19.52085032,5.42089672,14.0999536,80.08760736,0.243743707,0.722302224,,0.042396697,0.223724259,0.047,176686,44998,,91625,19.97669224,6.467489624,39,,0.641853886,1.819901648,6.171251464,0.641853886,1.819901648,6.171251464
20/05/23,Broken Hill,Stables Donny,7.9,HOSP,F,ad,91629,contamlow,trt,1.9,170,23.02,19.53,71.93,11,171,22.303,ok,14a,29.7,22.241,10,69,1,v,5.46,50,180,91629,21.3,7.8,a,20.22001982,3.61658916,16.60343066,89.09648074,0.226945213,0.821138199,,0.087454923,0.250237213,,12170774,44998,15.65,91629,,5.483132915,56,15.65438696,2.397895273,3.242295171,25.59239331,0.641853886,1.819901648,6.171251464
21/05/23,Broken Hill,Lexie,83.1,HOSP,F,ad,91647,contamhigh,ctr,7.4,190,23.28,19.64,71.86,4,145,22.487,ok,2a,35,24.171,22,213,1,v,2.84,50,166,91647,,,a,23.07048596,4.77724428,18.29324168,92.2759192,0.250016322,0.79292832,,0.044211151,0.194078101,0.041,25716,44998,24.06,91647,19.19976692,,299,13.76935416,1.386294361,2.422898433,11.27850196,2.00148,2.9211988,18.56352809
21/05/23,Broken Hill,Lexie,83.1,HOSP,F,ad,91655,contamhigh,trt,8.8,202,25.02,20.14,73.13,10.2,175,24.581,ok,14a,29.7,24.999,74,570,1,v,6.53,50,181,91655,,,b,17.53444472,4.19628432,13.3381604,78.2255476,0.224152406,0.760683364,,0.073759718,0.208616233,0.05,1767947,44998,,91655,,,333,,2.32238772,3.181134053,24.07403932,2.174751721,3.061548894,21.36061689
21/05/23,Broken Hill,Lexie,83.1,HOSP,F,ad,91656,contamhigh,trt,23.5,170,26.38,19.93,72.21,21.2,171,25.568,ok,26a,38.18,25.992,9,79,1,v,6.23,50,180,91656,,,a,16.90691486,3.54361,13.36330486,57.82998024,0.292355536,0.790404694,,0.102463947,0.256833397,0.051,1251528,44998,18.35,91656,22.30746819,,574,18.35054121,3.054001182,3.773740957,43.54265173,3.157000421,3.857170341,47.33123046
